 CODE      BOOK          CHAPTER COUNT
  gen     Genesis              50
  exo     Exodus               40
  lev     Leviticus            27
  num     Numbers              36
  deu     Deuteronomy          34
  jos     Joshua               24
  jdg     Judges               21
  rut     Ruth                  4
  1sa     1 Samuel             31
  2sa     2 Samuel             24
  1ki     1 Kings              22
  2ki     2 Kings              25
  1ch     1 Chronicles         29
  2ch     2 Chronicles         36
  ezr     Ezra                 10
  neh     Nehemiah             13
  est     Esther               10
  job     Job                  42
  psa     Psalms              150
  pro     Proverbs             31
  ecc     Ecclesiastes         12
  sng     Song of Solomon       8
  isa     Isaiah               66
  jer     Jeremiah             52
  lam     Lamentations          5
  ezk     Ezekiel              48
  dan     Daniel               12
  hos     Hosea                14
  jol     Joel                  3
  amo     Amos                  9
  oba     Obadiah               1
  jon     Jonah                 4
  mic     Micah                 7
  nam     Nahum                 3
  hab     Habakkuk              3
  zep     Zephaniah             3
  hag     Haggai                2
  zec     Zechariah            14
  mal     Malachi               4
  mat     Matthew              28
  mrk     Mark                 16
  luk     Luke                 24
  jhn     John                 21
  act     Acts                 28
  rom     Romans               16
  1co     1 Corinthians        16
  2co     2 Corinthians        13
  gal     Galatians             6
  eph     Ephesians             6
  php     Philippians           4
  col     Colossians            4
  1th     1 Thessalonians       5
  2th     2 Thessalonians       3
  1ti     1 Timothy             6
  2ti     2 Timothy             4
  tit     Titus                 3
  phm     Philemon              1
  heb     Hebrews              13
  jas     James                 5
  1pe     1 Peter               5
  2pe     2 Peter               3
  1jn     1 John                5
  2jn     2 John                1
  3jn     3 John                1
  jud     Jude                  1
  rev     Revelation           22
